time	cp
2	9.43773
4	9.43787
6	9.43812
8	9.43826
10	9.4381
12	9.43763
14	9.43821
16	9.43778
18	9.4375
20	9.43703
22	9.43713
24	9.43706
26	9.43712
28	9.43742
30	9.43699
32	9.438
34	9.43796
36	9.43698
38	9.43635
40	9.43707
42	9.43712
44	9.43776
46	9.43789
48	9.4375
50	9.43737
52	9.43722
54	9.43649
56	9.43498
58	9.43526
60	9.43548
62	9.43554
64	9.43457
66	9.43484
68	9.43521
70	9.43488
72	9.43407
74	9.43422
76	9.43477
78	9.43435
80	9.43552
82	9.43612
84	9.43581
86	9.43627
88	9.43722
90	9.43774
92	9.43757
94	9.43697
96	9.4368
98	9.43672
100	9.43696
102	9.43638
104	9.43615
106	9.43642
108	9.43522
110	9.4348
112	9.43567
114	9.43672
116	9.4364
118	9.43578
120	9.43602
122	9.43544
124	9.43581
126	9.43599
128	9.436
130	9.4366
132	9.43638
134	9.43553
136	9.43549
138	9.43531
140	9.43507
142	9.43517
144	9.43606
146	9.43587
148	9.4359
150	9.43561
152	9.4349
154	9.43544
156	9.43413
158	9.43376
160	9.43484
162	9.4359
164	9.43575
166	9.43637
168	9.43749
170	9.4376
172	9.43689
174	9.43688
176	9.43749
178	9.4367
180	9.43579
182	9.43537
184	9.43463
186	9.4349
188	9.43494
190	9.43619
192	9.43661
194	9.43641
196	9.43655
198	9.43683
200	9.43588
202	9.43561
204	9.43508
206	9.43434
208	9.43392
210	9.43365
212	9.43372
214	9.43475
216	9.43503
218	9.43604
220	9.43614
222	9.43535
224	9.43602
226	9.43617
228	9.43653
230	9.4375
232	9.43757
234	9.43705
236	9.43573
238	9.43529
240	9.43572
242	9.4362
244	9.4364
246	9.437
248	9.43766
250	9.43785
252	9.4389
254	9.43891
256	9.43821
258	9.43787
260	9.43778
262	9.43745
264	9.43672
266	9.4358
268	9.43456
270	9.43523
272	9.43614
274	9.43644
276	9.43582
278	9.43544
280	9.43485
282	9.43557
284	9.43615
286	9.43665
288	9.43689
290	9.43686
292	9.4366
294	9.43674
296	9.4367
298	9.43709
300	9.43691
302	9.43546
304	9.43483
306	9.42954
308	9.39176
310	9.30508
312	9.17327
314	9.00375
316	8.81468
318	8.62611
320	8.44787
322	8.2866
324	8.14846
326	8.04121
328	7.9763
330	7.95225
332	7.96353
334	8.00451
336	8.06575
338	8.13864
340	8.21863
342	8.30041
344	8.37927
346	8.45414
348	8.52528
350	8.58876
352	8.64655
354	8.69983
356	8.75051
358	8.79917
360	8.8458
362	8.8898
364	8.93091
366	8.97104
368	9.00914
370	9.04455
372	9.07755
374	9.10738
376	9.13594
378	9.16237
380	9.18551
382	9.20752
384	9.22768
386	9.24577
388	9.26306
390	9.278
392	9.29175
394	9.30386
396	9.31386
398	9.32478
400	9.3339
402	9.34271
404	9.35068
406	9.35787
408	9.36346
410	9.37016
412	9.3756
414	9.37952
416	9.38323
418	9.3883
420	9.39244
422	9.39505
424	9.39815
426	9.40121
428	9.40456
430	9.40705
432	9.40942
434	9.41108
436	9.4126
438	9.41458
440	9.41631
442	9.41834
444	9.41942
446	9.42037
448	9.42288
450	9.42456
452	9.42569
454	9.42709
456	9.42912
458	9.4301
460	9.43073
462	9.43118
464	9.43183
466	9.4316
468	9.43197
470	9.43306
472	9.43323
474	9.43307
476	9.43433
478	9.43411
480	9.43365
482	9.43481
484	9.43552
486	9.43591
488	9.43684
490	9.43811
492	9.43768
494	9.43825
496	9.43911
498	9.43873
500	9.43779
502	9.43738
504	9.43699
506	9.43686
508	9.43776
510	9.43835
512	9.43939
