DH	INJV	Xt	Mt	XMt	NDH	DY	Fit
-63.86551	10	0	0.00898	0.54676	-9149.78645	10.30932	-9160.09578
-38.89405	10	0.00488	0.00892	1.09734	-5572.21365	-29.19246	-5543.02119
-12.65679	10	0.00972	0.00885	1.65174	-1813.29307	68.92296	-1882.21603
-4.88188	10	0.01452	0.00879	2.20995	-699.40943	-19.49623	-679.9132
-2.733	10	0.0193	0.00873	2.77199	-391.54681	-66.19116	-325.35565
-1.88082	10	0.02404	0.00867	3.33785	-269.45784	-82.54201	-186.91584
-0.99152	10	0.02874	0.00861	3.90752	-142.052	-21.76577	-120.28623
-0.86336	10	0.03341	0.00855	4.48101	-123.69078	-40.22135	-83.46943
-0.93302	10	0.03804	0.00849	5.05833	-133.67053	-72.58252	-61.08801
-0.5487	10	0.04265	0.00843	5.63946	-78.6105	-32.10733	-46.50316
	--	0.04721	0.00837	--			
