DH	INJV	Xt	Mt	XMt	NDH
-19.57954	5	0	0.01	0.15659	-8780.06469
-21.59759	5	0.00156	0.00997	0.31373	-9685.01678
-20.20725	5	0.00312	0.00993	0.47141	-9061.54762
-18.40922	5	0.00466	0.0099	0.62965	-8255.25728
-15.47465	5	0.00621	0.00986	0.78843	-6939.30607
-12.17567	5	0.00775	0.00983	0.94776	-5459.93982
-9.29211	5	0.00928	0.00979	1.10763	-4166.86756
-6.26826	5	0.01081	0.00976	1.26806	-2810.87936
-4.68877	5	0.01233	0.00972	1.42903	-2102.58727
-3.40776	5	0.01385	0.00969	1.59055	-1528.1417
-2.4604	5	0.01536	0.00966	1.75262	-1103.32011
-2.0898	5	0.01686	0.00962	1.91523	-937.13113
-1.49386	5	0.01836	0.00959	2.0784	-669.89314
-1.31265	5	0.01986	0.00955	2.24211	-588.63386
-0.78783	5	0.02135	0.00952	2.40637	-353.28519
-1.2779	5	0.02283	0.00949	2.57118	-573.05075
-14.12427	5	0.02431	0.00945	2.73653	-6333.7517
-0.80666	5	0.02578	0.00942	2.90244	-361.73293
-1.15928	5	0.02725	0.00939	3.06889	-519.85669
2.77405	5	0.02871	0.00936	3.23589	1243.96995
	--	0.03017	0.00932	--	
